"","Name","Location","Year","Kilometers_Driven","Owner_Type","Mileage","Engine","Power","Seats","Price","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","TransmissionManual","Age"
"1","Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"First",1967,1582,1262,5,12.5,1,0,0,1,9
"2","Honda Jazz V","Chennai",2011,46000,"First",13,1199,887,5,4.5,0,0,1,1,13
"3","Maruti Ertiga VDI","Chennai",2012,87000,"First",2077,1248,8876,7,6,1,0,0,1,12
"4","Audi A4 New 2.0 TDI Multitronic","Coimbatore",2013,40670,"Second",152,1968,1408,5,17.74,1,0,0,0,11
"5","Nissan Micra Diesel XV","Jaipur",2013,86999,"First",2308,1461,631,5,3.5,1,0,0,1,11
"6","Toyota Innova Crysta 2.8 GX AT 8S","Mumbai",2016,36000,"First",1136,2755,1715,8,17.5,1,0,0,0,8
"7","Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"First",2054,1598,1036,5,5.2,1,0,0,1,11
"8","Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Second",223,1248,74,5,1.95,1,0,0,1,12
"9","Maruti Ciaz Zeta","Kochi",2018,25692,"First",2156,1462,10325,5,9.95,0,0,1,1,6
"10","Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"First",168,1497,1163,5,4.49,0,0,1,0,12
"11","Maruti Swift VDI BSIV","Jaipur",2015,64424,"First",252,1248,74,5,5.6,1,0,0,1,9
"12","Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"First",127,2179,1877,5,27,1,0,0,0,10
"13","Land Rover Freelander 2 TD4 SE","Pune",2012,85000,"Second",0,2179,115,5,17.5,1,0,0,0,12
"14","Mitsubishi Pajero Sport 4X4","Delhi",2014,110000,"First",135,2477,17556,7,15,1,0,0,1,10
"15","Honda Amaze S i-Dtech","Kochi",2016,58950,"First",258,1498,986,5,5.4,1,0,0,1,8
"16","Maruti Swift DDiS VDI","Jaipur",2017,25000,"First",284,1248,74,5,5.99,1,0,0,1,7
"17","Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"First",2045,1461,838,5,6.34,1,0,0,1,10
"18","Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"First",1484,2143,16762,5,28,1,0,0,0,10
"19","BMW 3 Series 320d","Kochi",2014,32982,"First",2269,1995,190,5,18.55,1,0,0,0,10
